"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"gene"
"PRPH2"	0.0124548271927668	-0.0772986526674227	0.093	0.232	1	"PRPH2"
"DPCR1"	0.0125078314165533	0.115094624702178	0.2	0.084	1	"DPCR1"
"C20orf27"	0.0126181034836454	-0.243972401610548	0.453	0.574	1	"C20orf27"
"ARSD"	0.0126878886150934	0.152970656686135	0.413	0.239	1	"ARSD"
"ZC3H8"	0.012839094770411	0.189146091522901	0.6	0.413	1	"ZC3H8"
"C7orf26"	0.0128550115922866	0.171624889591883	0.547	0.387	1	"C7orf26"
"PSMD9"	0.0128578497479289	0.139409177572759	0.68	0.465	1	"PSMD9"
"IL2"	0.0128600601758183	0.0736718545355675	0.16	0.058	1	"IL2"
"RTBDN"	0.0128629887597514	0.203226980957822	0.36	0.219	1	"RTBDN"
"MORC4"	0.012875388947853	-0.245379208467023	0.493	0.626	1	"MORC4"
"TMEM176B"	0.0129147059651134	0.0837993362525879	0.24	0.11	1	"TMEM176B"
"KLF14"	0.0129460037583732	0.0665817467214759	0.253	0.116	1	"KLF14"
"WIZ"	0.0129928177464502	0.145500873741559	0.44	0.277	1	"WIZ"
"RPL37"	0.013042713398092	0.101985199738593	0.56	0.394	1	"RPL37"
"MYBPHL"	0.0130640625969843	0.0632634089057837	0.24	0.116	1	"MYBPHL"
"CXorf57"	0.0130907653209877	0.0606978031757341	0.493	0.297	1	"CXorf57"
"ATXN2"	0.0132356202406919	0.227623078075031	0.813	0.71	1	"ATXN2"
"USP5"	0.0132360262825462	0.331892583238545	0.813	0.665	1	"USP5"
"TCTEX1D1"	0.0132567374313836	-0.207863534243718	0.427	0.548	1	"TCTEX1D1"
"GNAI2"	0.013297585971681	-0.214411131805303	0.773	0.865	1	"GNAI2"
"C8orf33"	0.0133905087679168	-0.155595409706517	0.147	0.29	1	"C8orf33"
"NSMCE3"	0.0134599867849102	-0.223848291308099	0.333	0.465	1	"NSMCE3"
"TBC1D24"	0.0135413785764337	0.197960507384532	0.693	0.542	1	"TBC1D24"
"GCKR"	0.0135968211863234	0.120871197402064	0.293	0.155	1	"GCKR"
"SKAP2"	0.0136608466013652	0.203506851287703	0.973	0.935	1	"SKAP2"
"CCNB1"	0.0136974390338843	0.191503764977459	0.467	0.316	1	"CCNB1"
"TSG101"	0.0139494066925792	0.209101680854953	0.707	0.574	1	"TSG101"
"PRPSAP1"	0.0141451246714863	-0.26188643841824	0.587	0.652	1	"PRPSAP1"
"C14orf132"	0.0141483362741003	-0.214254820419493	0.133	0.252	1	"C14orf132"
"MFSD12"	0.0141583295175764	-0.178711315468087	0.493	0.658	1	"MFSD12"
"FZD7"	0.0141741062597039	-0.242534042580452	0.347	0.484	1	"FZD7"
"RP1-179P9.3"	0.0141768412538141	-0.311136557266148	0.813	0.897	1	"RP1-179P9.3"
"AFM"	0.0142338650665634	0.097496772175511	0.133	0.045	1	"AFM"
"SCN7A"	0.0143071011475744	0.23374534325701	0.44	0.303	1	"SCN7A"
"ZDHHC13"	0.0144646421802151	0.152381757405933	0.547	0.4	1	"ZDHHC13"
"PAK2"	0.0144805709631815	0.228762707415788	0.733	0.619	1	"PAK2"
"YBX2"	0.0144950601636019	-0.13907600204649	0.067	0.187	1	"YBX2"
"C14orf159"	0.0145181358580238	-0.243020985570754	0.907	0.935	1	"C14orf159"
"FAM122C"	0.0145265617338602	0.193553069583988	0.653	0.503	1	"FAM122C"
"MLXIPL"	0.0145924917926519	0.186826584263074	0.48	0.329	1	"MLXIPL"
"KIF4A"	0.0145929370337413	0.123721812870581	0.52	0.342	1	"KIF4A"
"PHYH"	0.0147711027252358	0.163874253807678	0.733	0.542	1	"PHYH"
"ENPP1"	0.0147879887233796	0.183345065882312	0.52	0.355	1	"ENPP1"
"C11orf45"	0.0148052826065704	-0.151168499096162	0.133	0.284	1	"C11orf45"
"TPGS1"	0.0148337385741636	-0.182343390368776	0.44	0.581	1	"TPGS1"
"CTD-3105H18.14"	0.0149037535032191	0.144409027688151	0.347	0.206	1	"CTD-3105H18.14"
"SRPX2"	0.0150139339047464	0.086033922690354	0.187	0.077	1	"SRPX2"
"CTC-454I21.3"	0.0152034316926667	0.205315280648784	0.627	0.49	1	"CTC-454I21.3"
"AMER2"	0.0152341279258316	0.0773778110635429	0.2	0.084	1	"AMER2"
"DCBLD1"	0.0152416017559746	-0.326662240681167	0.733	0.806	1	"DCBLD1"
"NR2F2"	0.0152426935047289	-0.133001019104107	0.16	0.303	1	"NR2F2"
"SYTL4"	0.0152718385196006	0.131653095474669	0.507	0.323	1	"SYTL4"
"CYP20A1"	0.0154342245126761	0.256787567598539	0.747	0.581	1	"CYP20A1"
"RBMX"	0.0155812138393935	0.184583476251348	0.667	0.471	1	"RBMX"
"CD83"	0.0155812138393935	0.146414203006452	0.653	0.477	1	"CD83"
"ALKBH4"	0.0156024729071489	0.154044261611465	0.48	0.329	1	"ALKBH4"
"MTHFR"	0.0156628918785353	0.194570525704428	0.707	0.594	1	"MTHFR"
"ASB9"	0.0157811177565839	-0.0893149751747196	0.067	0.187	1	"ASB9"
"KIAA1033"	0.0158486131319756	0.207941474802288	0.8	0.665	1	"KIAA1033"
"ZRANB2"	0.0158554901503194	-0.247748161435028	0.52	0.639	1	"ZRANB2"
"SRGAP1"	0.0158661447062134	0.210199461312314	0.84	0.735	1	"SRGAP1"
"PFKFB1"	0.0159172271475709	-0.151689733408617	0.267	0.432	1	"PFKFB1"
"HIST1H4H"	0.0159249145320847	-0.276701318629615	0.48	0.594	1	"HIST1H4H"
"IFI16"	0.0160173569042151	0.220780153816263	0.68	0.49	1	"IFI16"
"GRK1"	0.0160214116892557	-0.152903749749702	0.24	0.4	1	"GRK1"
"FAM129B"	0.0160353573819466	0.211582799311651	0.76	0.665	1	"FAM129B"
"GBAS"	0.0160671393066984	0.228335687451833	0.707	0.555	1	"GBAS"
"TRIP10"	0.0161194822363985	-0.201544469135611	0.507	0.639	1	"TRIP10"
"SLC25A22"	0.01628736326155	-0.158143503253731	0.267	0.445	1	"SLC25A22"
"KPNA4"	0.0163457200194667	0.195724877925429	0.827	0.781	1	"KPNA4"
"MICAL2"	0.0164189941393285	0.236081567886033	0.973	0.935	1	"MICAL2"
"ASL"	0.0164369736972671	0.134572124906668	0.453	0.29	1	"ASL"
"SLC38A7"	0.0165529514663383	-0.137224952714548	0.147	0.284	1	"SLC38A7"
"KCNJ9"	0.0165741800778767	-0.0822770907315707	0.08	0.2	1	"KCNJ9"
"SOHLH2"	0.0165982034154364	0.0506683950468405	0.147	0.052	1	"SOHLH2"
"SLC25A21"	0.0166082482149469	0.20163561546343	0.733	0.613	1	"SLC25A21"
"EP300"	0.0167188781806934	-0.141535493252636	0.493	0.716	1	"EP300"
"CDCA3"	0.0167668342871765	0.313745364434422	0.813	0.665	1	"CDCA3"
"NEU4"	0.0167676690203619	0.084115534832044	0.24	0.116	1	"NEU4"
"EPPK1"	0.0168152347191137	0.0999727924083884	0.133	0.045	1	"EPPK1"
"TEX14"	0.0168266210174339	-0.230094193326881	0.787	0.884	1	"TEX14"
"SNX4"	0.0169691748157109	0.176952980030878	0.667	0.445	1	"SNX4"
"NUP37"	0.0170673068521861	0.16212257309562	0.587	0.452	1	"NUP37"
"VPS39"	0.0171201651180083	0.103550691764244	0.573	0.413	1	"VPS39"
"OSER1"	0.017121702031954	0.172789483557817	0.667	0.51	1	"OSER1"
"KLHDC3"	0.0172221326440536	0.107971825814592	0.653	0.503	1	"KLHDC3"
"CHL1"	0.0172232676639266	0.162388262922607	0.613	0.432	1	"CHL1"
"RNF135"	0.0172380531954066	0.108877045175105	0.467	0.284	1	"RNF135"
"XYLT1"	0.0172457190172439	-0.155817979020962	0.973	0.948	1	"XYLT1"
"LRCH2"	0.0172549475145731	0.10897356573022	0.387	0.213	1	"LRCH2"
